rooms,Elitka,area,heating,floor,price
2,0,43,1,5,30000
2,0,30,1,6,30000
2,0,30,1,6,30000
2,0,33,1,8,30000
2,0,34,1,7,30000
2,0,34,1,4,30000
2,0,33,1,5,30000
1,0,34,1,7,30000
1,1,45,1,5,30000
1,1,46,1,9,30000
1,1,32,1,8,30000
1,1,34,1,4,30000
2,1,45,1,6,30000
2,0,50,1,1,30000
2,1,44,1,7,30000
2,1,44,1,6,30000
1,1,45,1,5,30000
2,1,51,1,1,30000
2,1,42,1,4,30000
1,1,42,1,4,30000
1,1,35,1,11,30000
1,1,47,1,5,30000
1,1,42,1,3,30000
2,1,42,1,8,30000
2,1,50,1,1,30000
1,1,41,1,6,30000
2,0,41,1,4,30000
2,1,48,1,10,30000
2,0,32,1,3,30000
2,1,60,1,2,30000
3,0,62,1,1,30000
2,0,47,1,9,30000
3,0,55,1,7,30000
1,1,32,1,12,30000
1,1,45,1,7,30000
1,1,43,1,3,30000
3,0,70,0,2,30180
2,0,57,1,1,30200
2,0,55,1,2,30200
3,0,49,1,9,30200
2,0,49,1,7,30200
2,0,67,0,1,30200
1,1,31,1,9,30200
1,1,42,1,3,30250
1,1,31,1,3,30250
1,1,38,1,6,30500
1,1,45,1,4,30500
1,1,42,1,5,30500
1,0,32,1,5,30500
1,0,34,1,7,30500
2,0,34,1,3,30500
2,0,45,1,3,30500
1,1,32,1,4,30500
1,1,45,1,7,30500
3,0,64,1,2,30500
1,1,40,1,7,30500
1,1,37,1,3,30500
1,1,34,1,5,30500
1,1,42,1,8,30500
1,1,32,1,4,30500
1,1,34,1,8,30500
1,1,45,1,5,30500
1,1,32,1,3,30500
1,1,37,1,4,30500
2,1,45,1,4,30500
1,1,34,1,6,30500
1,0,45,1,9,30500
2,0,46,1,3,30500
1,1,44,1,6,30500
3,0,68,0,2,30500
1,1,32,1,7,30500
2,0,43,1,5,30500
2,0,43,1,9,30500
2,0,43,1,8,30500
2,0,43,1,6,30500
2,0,44,1,9,30500
2,0,33,1,8,30500
1,1,45,1,3,30500
2,0,31,1,8,30500
3,0,47,1,9,30500
1,0,45,1,7,30500
1,0,33,1,7,30500
3,1,56,1,2,30900
4,0,78,0,2,30900
1,1,34,1,7,31000
1,1,40,1,9,31000
1,1,32,1,11,31000
1,1,45,1,8,31000
1,1,41,1,7,31000
2,0,56,1,2,31000
2,0,32,1,9,31000
2,0,42,1,4,31000
1,1,32,1,7,31000
2,0,50,1,8,31000
1,1,34,1,9,31000
2,0,45,1,7,31000
1,0,39,1,8,31000
2,0,54,1,1,31000
1,1,40,1,9,31000
1,0,42,1,6,31000
2,0,53,1,1,31000
2,0,47,1,9,31000
2,0,54,1,2,31000
1,1,32,1,4,31000
1,1,39,1,6,31000
1,1,33,1,5,31000
2,0,50,1,8,31000
1,1,37,1,4,31000
1,1,30,1,5,31000
1,1,33,1,3,31000
1,1,30,1,8,31000
2,0,34,1,5,31000
1,1,36,1,5,31000
1,1,32,1,8,31000
1,1,32,1,8,31000
1,1,32,1,3,31000
2,1,42,1,6,31000
2,1,64,1,1,31000
1,1,45,1,4,31000
1,0,31,1,7,31000
1,1,32,1,4,31000
2,0,52,1,2,31000
2,0,44,1,4,31000
2,0,42,1,9,31000
2,0,45,1,7,31000
2,0,32,1,8,31000
2,0,32,1,7,31000
2,0,43,1,8,31000
2,0,32,1,3,31000
1,1,33,1,8,31000
1,1,32,1,8,31000
1,1,32,1,4,31000
1,1,32,1,4,31000
1,1,32,1,9,31000
1,1,32,1,4,31000
1,1,33,1,5,31000
1,1,34,1,9,31000
1,1,43,1,9,31000
1,1,34,1,5,31000
1,1,34,1,3,31000
1,1,34,1,5,31000
1,1,47,1,7,31000
1,1,45,1,6,31000
1,1,42,1,7,31000
2,1,60,1,2,31000
2,1,50,1,4,31000
2,1,48,1,9,31000
2,1,42,1,5,31000
2,0,43,1,3,31000
2,0,56,1,2,31000
2,0,52,1,2,31000
3,0,60,1,1,31000
1,1,32,1,9,31000
2,0,54,1,1,31000
3,0,64,1,1,31000
2,0,50,1,7,31000
1,0,43,1,3,31000
1,0,32,1,3,31500
2,0,45,1,8,31500
1,0,32,1,5,31500
2,0,44,1,7,31500
1,1,34,1,8,31500
1,1,32,1,8,31500
2,0,53,1,1,31500
3,0,64,1,2,31500
2,0,45,1,8,31500
1,1,34,1,7,31500
2,1,48,1,4,31500
1,1,32,1,5,31500
2,1,32,1,9,31500
1,1,33,1,5,31500
1,1,33,1,8,31500
2,0,42,1,7,31500
2,0,50,1,3,31500
2,0,50,1,9,31500
1,1,32,1,3,31500
1,1,34,1,9,31500
2,1,47,1,9,31500
2,1,55,1,1,31500
2,1,42,1,6,31500
2,0,43,1,7,31500
2,1,56,1,2,31500
2,1,48,1,9,31500
2,1,58,1,2,31500
2,1,58,1,2,31500
2,0,32,1,9,31500
2,1,42,1,7,31500
2,1,42,1,3,31500
3,0,64,1,2,31500
3,0,56,1,2,31500
1,1,45,1,4,31500
2,1,42,1,4,31500
1,0,33,1,6,31500
2,1,60,1,1,31500
1,0,42,1,5,31500
2,0,58,1,1,31516
1,0,28,1,3,31700
1,0,28,1,3,31700
1,0,28,1,6,31700
1,0,40,1,6,31700
1,0,39,1,6,31700
2,0,43,1,5,31700
2,0,50,1,5,31700
2,1,53,1,2,31734
2,1,53,1,2,31800
1,1,33,1,7,31800
1,1,36,1,6,31900
1,1,45,1,8,32000
1,1,32,1,4,32000
1,1,46,1,3,32000
1,1,35,1,10,32000
1,1,45,1,7,32000
2,1,58,1,2,32000
1,0,34,1,4,32000
3,0,62,1,2,32000
2,0,44,1,4,32000
3,0,59,1,2,32000
1,1,39,1,8,32000
1,0,32,1,4,32000
1,1,33,1,5,32000
1,1,32,1,4,32000
1,1,33,1,3,32000
1,0,32,1,9,32000
2,0,47,1,5,32000
1,0,32,1,3,32000
1,0,42,1,3,32000
1,1,43,1,5,32000
3,0,67,1,1,32000
2,0,54,1,2,32000
2,0,43,1,3,32000
3,0,58,1,2,32000
